ITEM_NUM,ITEM_DESC,LONG_DESC,ITEM_CLASS,ITEM_TYPE,PRIMARY_UOM,SECONDARY_UOM,INVENTORY_ORG,ITEM_STATUS,EFFECTIVE_DATE,EFFECTIVE_END_DATE,CREATED_DATE,WEIGHT,WEIGHT_UOM,LENGTH_CM,WIDTH_CM,HEIGHT_CM,DIMENSION_UOM,COLOR,MATERIAL,STD_COST,AVG_COST,LIST_PRICE,CURRENCY,COUNTRY_OF_ORIGIN,HARMONIZED_CODE,LEAD_TIME_DAYS,MIN_ORDER_QTY,REORDER_POINT,SAFETY_STOCK,MAKE_OR_BUY,ABC_CLASS,SUPPLIER_NAME,CATEGORY_PATH
ITM-01039-B,Heat Shrink Tubing 6mm,Heat Shrink Tubing 6mm — Plano warehouse stock,RAW MATERIAL,raw,EACH,EACH,M-1,A,25-Jul-23,,20230710,28.209,LB,62.8,45.7,5.5,INCH,Black,,145.71,153.31,345.37,USD,TW,9769.90.40,77,50,206,123,MAKE,C,Acme Components,Raw Materials/Steel
ITM-01040-B,Shaft Coupling 12mm,Shaft Coupling 12mm — Plano warehouse stock,COMPONENTS,FINISHED,ea,EACH,PLANO_PLANT,Inactive,08/06/2023,,2023-05-24T00:00:00,47.888,KG,136.1,6.2,50.8,INCH,Black,Aluminum 6061,$113.73,121.88,263.98,USD,China,88312899,87,25,155,69,BUY,C,,Components > Electrical > Capacitors
ITM-01014-B,Stainless Steel Washer,,COMPONENTS,raw,EACH,,M-1,A,"Apr 29, 2023",14-Apr-26,"Apr 08, 2023",48.386,KGS,102.2,2.8,25.4,IN,White,Carbon Steel,175.22,176.76,360.0,$,U.S.A.,HS-84288047,18,5,49,80,M,C,,/Components/Mechanical/Bearings
ITM-01042-C,PRESSURE SENSOR 0-10 BAR  ,,Finished Goods,raw,PC,,M2,X,06/23/2023,,19-Jun-23,7.755,KGS,180.9,20.2,54.6,MM,Red,Carbon Steel,46.85,49.38,97.79,USDOLLAR,Mexico,92223859,65,50,224,46,B,C,Tier One Mfg,Finished Goods\Industrial
ITM-01043-A,Gear Reducer 1:10,,ELECTRONICS,COMP,Each,,DALLAS_DC,A,01/06/2027,"Dec 27, 2028",20220911,42.302,KG,47.9,99.5,30.6,CM,White,Stainless Steel,213.09,211.55,477.2,USDOLLAR,United States,9854.75.18,18,1,156,125,BUY,A,Toyo Industries,Raw Materials/Steel
ITM-01044-A,pressure sensor 0-10 bar,pressure sensor 0-10 bar — Plano warehouse stock,Finished Goods,SUBASM,EACH,,M1,ACT,20200611,20220413,20200611,47.014,LBS,144.0,29.8,1.1,INCH,Silver,Brass,153.0,155.06,344.83,US$,United States,8249.16.30,86,100,53,139,Make,A,,/Components/Mechanical/Bearings
ITM-01045-D,Encoder 1024 PPR,,ELECTRONICS,RM,PCS,ea,PLANO_PLANT,ACT,08/21/2022,,2022-08-20T00:00:00,49.053,GMS,93.5,69.8,50.9,IN,Black,,64.91,61.82,147.18,US$,US,HS-99525435,38,5,32,56,M,B,GlobalParts SA,Raw Materials/Steel
ITM-01046-D,Plastic Enclosure ABS Black,Plastic Enclosure ABS Black — Plano warehouse stock,ELECTRONICS,RM,EA,,DALLAS_DC,Active,2020-04-08T00:00:00,,20200315,14.341,KG,160.4,73.0,7.2,MM,Silver,Brass,215.81,206.57,457.8,USDOLLAR,MEXICO,93422503,14,1,177,174,Make,B,Toyo Industries,Raw Materials/Steel
ITM-01047-B,Solenoid Valve 24VDC,,COMPONENTS,FG,EA,ea,DALLAS_DC,A,07/09/2022,,2022-06-28,-36.354,LBS,155.9,37.3,31.2,MM,Black,Brass,228.08,237.71,428.43,$,TAIWAN,HS-97216309,58,10,200,118,M,C,Tier One Mfg,Finished Goods\Industrial
ITM-01048-D,Shaft Coupling 12mm,Shaft Coupling 12mm — Plano warehouse stock,ELECTRONICS,FG,EACH,,DALLAS_DC,A,2023-08-31T00:00:00,2025-04-19,"Aug 23, 2023",36.797,KG,133.9,71.2,44.4,INCH,White,Plastic ABS,$125.76,126.77,253.76,$,MEXICO,9441.67.27,66,5,72,56,B,A,Toyo Industries,/Components/Mechanical/Bearings
ITM-01049-C,MOUNTING PLATE STEEL  ,MOUNTING PLATE STEEL   — Plano warehouse stock,,COMP,Each,,DALLAS_DC,Inactive,"Mar 29, 2023",,20230318,49.151,KG,26.5,83.1,44.6,MM,Silver,Plastic ABS,34.18,37.0,50.32,US$,China,HS-93738309,8,1,275,44,Make,A,Tier One Mfg,Finished Goods\Industrial
ITM-01050-B,Brushless DC Motor 24V,Brushless DC Motor 24V — Plano warehouse stock,RAW MATERIAL,raw,ea,,M-1,Active,2022-12-26T00:00:00,04-Jun-24,20221128,9.855,LB,165.2,3.8,4.6,MM,White,,239.18,237.07,499.29,$,TW,HS-99857796,54,50,337,12,Buy,C,,Finished Goods\Industrial
ITM-01051-C,Power Supply 250W ATX,Power Supply 250W ATX — Plano warehouse stock,PACKAGING,COMP,Each,,M2,Active,20210610,,20210516,20.334,LB,64.5,47.2,22.1,IN,Silver,Stainless Steel,114.48,120.58,180.18,USD,MX,HS-90488528,50,50,224,68,B,B,,Finished Goods\Industrial
ITM-01052-B,Heat Shrink Tubing 6mm,Heat Shrink Tubing 6mm — Plano warehouse stock,PACKAGING,COMP,,,DALLAS_DC,Active,20201207,,2020-11-22,23.367,LB,86.8,88.4,58.5,Inches,White,Stainless Steel,220.01,225.42,329.81,US$,US,87219048,73,50,109,97,MAKE,B,Acme Components,Raw Materials/Steel
ITM-01053-D,Heat Shrink Tubing 6mm,Heat Shrink Tubing 6mm — Plano warehouse stock,ELECTRONICS,FINISHED,EACH,EA,M2,ACT,01-Jun-27,,2023-01-31T00:00:00,31.181,KGS,104.3,15.7,71.6,IN,White,Brass,153.54,148.83,231.28,USDOLLAR,United States,HS-86679274,51,50,388,81,MAKE,B,,Raw Materials/Steel
ITM-01054-C,Power Supply 250W ATX,,COMPONENTS,FINISHED,ea,,M-1,ACT,"Feb 15, 2020",26/09/2021,20200204,29.206,KGS,30.4,68.4,3.5,CM,Silver,Stainless Steel,199.6,211.34,430.51,US$,MEXICO,8971.43.83,54,5,221,181,B,B,,Raw Materials/Steel
ITM-01055-A,solenoid valve 24vdc,,,COMP,ea,,M2,Active,2020-10-25T00:00:00,"Aug 21, 2023",09-Oct-20,23.945,GMS,42.2,70.8,26.0,INCH,Blue,,95.45,104.37,181.89,USDOLLAR,MX,8701.79.45,16,50,356,144,Buy,B,GlobalParts SA,Components > Electrical > Capacitors
ITM-01056-C,HEX BOLT M8X40  ,,Finished Goods,FINISHED,ea,EA,M-1,I,"Sep 11, 2021",,08/12/2021,17.351,LB,20.9,33.7,38.3,IN,Black,Brass,$111.71,110.42,215.26,$,Mexico,8555.81.89,84,25,254,171,B,B,GlobalParts SA,Finished Goods\Industrial
ITM-01057-A,Filter Cartridge 5 micron,,Finished Goods,COMP,Each,,M1,Active,20200722,,20200702,26.781,LB,185.8,34.2,36.9,MM,Blue,Carbon Steel,181.33,197.74,436.02,$,China,9806.32.04,60,10,108,33,Make,A,Toyo Industries,Finished Goods\Industrial
ITM-01058-B,Industrial Bearing 6203 ZZ,Industrial Bearing 6203 ZZ — Plano warehouse stock,PACKAGING,RM,ea,Each,M2,Inactive,2021-12-16T00:00:00,2026-09-27T00:00:00,21-Nov-21,9.698,KG,61.1,72.6,1.9,INCH,,Plastic ABS,153.52,160.55,283.4,USD,TAIWAN,8671.21.51,16,25,167,45,Buy,C,,Finished Goods\Industrial
ITM-01059-A,Gear Reducer 1:10,,RAW MATERIAL,RM,EACH,,M-1,A,20210907,,27/08/2021,10.995,G,141.0,8.7,45.6,CM,Blue,Brass,35.13,34.18,78.08,$,TW,HS-98036100,69,5,94,88,MAKE,B,Acme Components,Components > Electrical > Capacitors
ITM-01060-D,Stainless Steel Washer,,PACKAGING,raw,PC,EA,M1,Inactive,25-Nov-22,,"Nov 11, 2022",22.699,LB,108.7,7.0,71.6,Inches,Black,Aluminum 6061,129.29,131.68,189.22,US$,United States,80730495,18,100,383,170,Buy,B,Toyo Industries,Raw Materials/Steel
