ORDER_NUM,ORDER_DATE,ORDER_STATUS,CUSTOMER_NUM,CUSTOMER_NAME,ORDER_TYPE,LINE_NUM,ITEM_NUM,QUANTITY,UOM,UNIT_PRICE,CURRENCY,SHIP_TO_ORG,REQUESTED_DATE,PROMISED_DATE,SOURCE_SYSTEM,SALES_REP,PAYMENT_TERMS,FREIGHT_TERMS,WAREHOUSE
SO-200029,13-Mar-24,BOOKED,CUST-1004,Lone Star Logistics,RMA,1,ITM-01006-B,115,EA,107.55,USD,M1,"Aug 19, 2024",2024-08-26,NETSUITE,J. Lin,NET 30,FOB,M1
SO-200029,13-Mar-24,BOOKED,CUST-1004,Lone Star Logistics,RMA,2,ITM-01047-B,99,Each,293.57,USD,M1,01/03/2024,28/02/2024,NETSUITE,J. Lin,Due on receipt,FOB,M1
SO-200030,2024-07-11,CANCELLED,CUST-1005,BlueRidge Components,RMA,1,ITM-01003-C,82,EACH,380.76,USD,M2,15-May-24,05/12/2024,NETSUITE,M. Patel,Due on receipt,FOB Destination,M2
SO-200031,20240208,BOOKED,CUST-1006,Summit Technology,DROPSHIP,1,ITM-DELETED,156,Each,64.53,USD,M2,15-Aug-24,08/17/2024,NETSUITE,B. O'Connor,NET60,DDP,M2
SO-200032,"Oct 10, 2024",CLOSED,CUST-1006,Summit Technology,DROPSHIP,1,ITM-12345-Q,40,EA,145.61,$,DALLAS_DC,2024-07-19,31-Jul-24,NETSUITE,J. Lin,PREPAID,DDP,DALLAS_DC
SO-200033,2024-02-19,SHIPPED,CUST-1002,Acme Manufacturing,RMA,1,ITM-01020-A,126,PC,107.47,USD,PLANO_DC,20240610,22/06/2024,NETSUITE,J. Lin,NET60,FOB,PLANO_DC
SO-200033,2024-02-19,SHIPPED,CUST-1002,Acme Manufacturing,RMA,2,ITM-01024-D,12,EACH,177.02,$,PLANO_DC,04/17/2024,2024-04-28T00:00:00,NETSUITE,J. Lin,NET 30,FOB Origin,PLANO_DC
SO-200033,2024-02-19,SHIPPED,CUST-1002,Acme Manufacturing,RMA,3,ITM-12345-Q,22,PC,138.83,USD,PLANO_DC,18/08/2024,2024-08-18T00:00:00,NETSUITE,J. Lin,PREPAID,FOB Destination,PLANO_DC
SO-200033,2024-02-19,SHIPPED,CUST-1002,Acme Manufacturing,RMA,4,ITM-01054-C,108,ea,275.45,$,PLANO_DC,20240608,06/21/2024,NETSUITE,J. Lin,Due on receipt,FOB,PLANO_DC
SO-200034,2024-07-21T00:00:00,BOOKED,CUST-1001,Northwind Industries,RMA,1,ITM-01011-C,33,EA,170.5,USD,M2,24/04/2024,04/27/2024,NETSUITE,E. Vasquez,NET60,FOB,M2
SO-200034,2024-07-21T00:00:00,BOOKED,CUST-1001,Northwind Industries,RMA,2,ITM-DELETED,100,ea,160.15,$,M2,2024-03-18T00:00:00,17-Mar-24,NETSUITE,E. Vasquez,PREPAID,DDP,M2
SO-200035,20241224,CANCELLED,CUST-1001,Northwind Industries,STD,1,ITM-01038-D,145,EA,314.73,USD,DALLAS_DC,26-Mar-24,26/03/2024,NETSUITE,R. Kim,NET 30,DDP,DALLAS_DC
SO-200035,20241224,CANCELLED,CUST-1001,Northwind Industries,STD,2,ITM-01037-A,10,PCS,111.61,USD,DALLAS_DC,20240803,20240815,NETSUITE,R. Kim,Due on receipt,FOB Origin,DALLAS_DC
SO-200036,"Jun 18, 2024",SHIPPED,CUST-1004,Lone Star Logistics,STD,1,ITM-DELETED,216,Each,343.58,USD,M1,2024-05-19,2024-05-24T00:00:00,NETSUITE,R. Kim,NET60,FOB Destination,M1
SO-200036,"Jun 18, 2024",SHIPPED,CUST-1004,Lone Star Logistics,STD,2,ITM-01048-D,69,PC,167.88,USD,M1,2024-06-22,06/29/2024,NETSUITE,R. Kim,Due on receipt,FOB Destination,M1
SO-200036,"Jun 18, 2024",SHIPPED,CUST-1004,Lone Star Logistics,STD,3,ITM-01006-B,223,EACH,328.76,USD,M1,2024-07-03T00:00:00,07/16/2024,NETSUITE,R. Kim,NET30,FOB,M1
SO-200037,16/09/2024,SHIPPED,CUST-1006,Summit Technology,STD,1,ITM-01016-D,13,EACH,282.44,$,DALLAS_DC,09-Mar-24,2024-03-20T00:00:00,NETSUITE,M. Patel,Due on receipt,DDP,DALLAS_DC
SO-200037,16/09/2024,SHIPPED,CUST-1006,Summit Technology,STD,2,ITM-12345-Q,62,EACH,196.54,$,DALLAS_DC,04/01/2024,2024-03-29T00:00:00,NETSUITE,M. Patel,Due on receipt,FOB,DALLAS_DC
SO-200038,2024-03-24T00:00:00,CLOSED,CUST-1003,Pacific Distributors,STD,1,ITM-12345-Q,166,PCS,271.72,$,PLANO_DC,"Apr 24, 2024",28/04/2024,NETSUITE,J. Lin,PREPAID,FOB Origin,PLANO_DC
SO-200038,2024-03-24T00:00:00,CLOSED,CUST-1003,Pacific Distributors,STD,2,ITM-01050-B,122,PCS,259.65,USD,PLANO_DC,2024-08-22T00:00:00,2024-08-19,NETSUITE,J. Lin,NET60,FOB,PLANO_DC
SO-200038,2024-03-24T00:00:00,CLOSED,CUST-1003,Pacific Distributors,STD,3,ITM-01020-A,109,Each,340.93,$,PLANO_DC,12-Aug-24,08/17/2024,NETSUITE,J. Lin,Due on receipt,FOB,PLANO_DC
SO-200038,2024-03-24T00:00:00,CLOSED,CUST-1003,Pacific Distributors,STD,4,ITM-01053-D,150,EA,4.92,USD,PLANO_DC,2024-08-07T00:00:00,2024-08-16T00:00:00,NETSUITE,J. Lin,NET 30,FOB,PLANO_DC
